apellido,nombre,nro_documento,tipo_documento,fecha_nacimiento,sexo,nro_legajo,fecha_ingreso
VonRueden,Emely Maya Dare,35839804,LibretaEnrolamiento,1943-11-04,M,1,2014-04-16
Kub,Logan Lina Heaney,27605712,LibretaCivica,1982-11-13,F,2,2022-02-26
King,Abagail Pinkie Collins,4985084,Pasaporte,1952-10-15,M,3,2006-06-18
Lynch,Delta Kathryne Satterfield,9448776,LibretaCivica,1977-02-11,M,4,1975-07-05
Dickinson,Claud Kitty Christiansen,32000222,LibretaEnrolamiento,1984-11-18,M,5,1969-10-29
Dickinson,Deontae Alexanne Murray,35906383,Pasaporte,1941-09-10,M,6,2018-11-02
Schaefer,Delfina Sonny Williamson,35709955,LibretaCivica,1965-06-28,M,7,1996-01-19
Grady,Murphy Conor Johnston,8045717,LibretaCivica,1963-11-14,F,8,1962-02-14
Donnelly,Odessa Connie Borer,22724810,LibretaCivica,2000-04-11,M,9,1973-08-04
Schmitt,Larue Susana Kub,13825102,LibretaEnrolamiento,2006-09-02,F,10,1976-07-25
Cronin,Otha Madonna Fahey,33954602,LibretaEnrolamiento,1992-11-24,M,11,1962-03-20
Grady,Amparo Lindsey Zemlak,23916926,DNI,1954-06-07,M,12,2019-03-17
Doyle,Cedrick Thurman Gutmann,11350824,LibretaEnrolamiento,1995-08-05,F,13,1969-05-10
Gerlach,Joesph Enoch Greenfelder,7061262,LibretaEnrolamiento,1989-11-23,M,14,1983-04-16
Pagac,Ceasar Amiya Swift,39331506,LibretaEnrolamiento,1975-12-05,M,15,2006-03-20
Maggio,May Idell Hauck,34996043,Pasaporte,1955-06-27,M,16,1996-05-16
Jacobs,Heaven Candida Stamm,47864556,DNI,1986-08-30,F,17,1980-11-22
Kub,Sidney Efrain Schiller,30166839,LibretaCivica,1964-07-08,F,18,2023-08-06
Aufderhar,Noel Kaelyn Turcotte,3132314,LibretaEnrolamiento,1954-01-27,M,19,1971-01-12
Kunze,Maximillia Gina Lebsack,3741878,LibretaEnrolamiento,1947-07-06,M,20,1978-05-09
Hodkiewicz,Jacynthe Morton Grimes,6250297,LibretaCivica,1940-04-13,M,21,1977-08-02
Powlowski,Bernita Johnathan Hermiston,38802823,LibretaCivica,1982-03-20,F,22,2013-01-26
Stark,Fabiola Abdiel Braun,15545348,Pasaporte,1966-02-08,M,23,1987-10-26
Bauch,Laurine Gilda Auer,48842143,LibretaCivica,1979-06-17,M,24,1982-09-06
Yost,Corine Shaina Marvin,18168470,Pasaporte,2005-07-30,F,25,2015-03-22
Gleichner,Britney Paolo Medhurst,17789837,Pasaporte,1964-11-22,F,26,1984-03-18
Lang,Addison Kendrick Murray,42293029,LibretaEnrolamiento,1949-11-20,M,27,2020-11-26
Schinner,Theron Green Marvin,29544329,Pasaporte,1956-09-10,M,28,1984-04-06
Price,Adaline Lilyan Wolf,5334727,DNI,1966-05-21,F,29,1993-07-12
Cummerata,Melissa Velda Botsford,5330919,LibretaCivica,1966-02-20,M,30,1963-06-05
Schaden,Randi Luther Hettinger,49548738,LibretaCivica,1951-01-24,F,31,1963-08-21
Leannon,Breanna Nedra Goldner,39864743,LibretaEnrolamiento,1938-04-10,F,32,1986-04-29
Cummings,Dayna Dorcas Bashirian,6844203,LibretaCivica,1986-06-26,M,33,1963-05-01
Rath,Dayton Simone Cummings,44942678,DNI,1999-03-14,F,34,2021-03-28
Dickens,Kailee Maurine Fisher,49390137,Pasaporte,1949-03-19,F,35,1990-12-08
Pfannerstill,Denis Sigmund Gerlach,13370543,LibretaCivica,1960-05-18,M,36,1970-08-12
Emard,Shawn Izaiah Kassulke,9092157,Pasaporte,1960-09-22,F,37,1978-03-05
Crooks,Stuart Ned Auer,18015159,LibretaCivica,1938-01-20,F,38,1957-02-15
Frami,Adolfo Cleveland Haley,16492850,Pasaporte,1999-07-24,F,39,1993-04-10
Bernier,Maymie Willis Bahringer,29408878,Pasaporte,1940-04-01,F,40,2020-10-19
Schmitt,Roderick Krystina Lemke,34252220,LibretaEnrolamiento,1940-05-10,F,41,2022-07-26
Bradtke,Meda Sienna Prosacco,21896784,LibretaEnrolamiento,2000-07-09,M,42,1983-07-15
Hane,Jameson Verner Wyman,40706579,DNI,2003-03-08,F,43,2013-11-30
Marks,Spencer Jacklyn Dare,43717659,LibretaCivica,1996-02-23,M,44,2021-01-01
Gleichner,Jed Aric Smitham,46963612,DNI,1963-03-21,M,45,2008-11-09
Anderson,Shad Patrick Vandervort,22591327,Pasaporte,1944-08-16,M,46,1988-05-18
Douglas,Aliyah Marshall Wilkinson,15249448,Pasaporte,1951-10-21,F,47,1995-09-30
Klocko,Mason Eugenia Grimes,45424223,DNI,1970-06-10,M,48,2002-01-02
Jones,Nichole Justina Bernhard,42806648,LibretaEnrolamiento,1982-04-12,M,49,1967-05-01
Witting,Isac Christelle Keeling,9295069,Pasaporte,2003-06-12,M,50,1964-12-03
Walsh,Brionna Joshuah Robel,2205398,LibretaEnrolamiento,2007-04-02,M,51,1959-10-02
Schamberger,Carolanne Isidro Rempel,16648984,LibretaEnrolamiento,1966-03-14,M,52,1985-05-25
Durgan,Amina Gage Lemke,36833339,DNI,1973-02-02,M,53,1957-02-05
Barrows,Gail Saul Nitzsche,32986775,LibretaCivica,1972-11-04,F,54,1992-01-24
Cormier,Kiera Sheldon Flatley,40757602,DNI,1959-03-03,M,55,1996-06-19
Nikolaus,Deondre Leola Quigley,32453928,LibretaCivica,1944-09-22,M,56,2019-10-22
Franecki,Litzy Jed Balistreri,25294057,DNI,1978-12-06,M,57,2009-05-12
Blick,Brigitte Robert Grimes,49471355,Pasaporte,1960-07-04,M,58,2021-11-29
Tremblay,Destiney Carlo Hartmann,42798019,LibretaCivica,1956-06-17,M,59,1960-07-25
Kuphal,Scot Mortimer Feeney,37288833,DNI,1970-03-01,M,60,2020-03-22
Hahn,Brandy Renee Jakubowski,20686084,LibretaCivica,1991-01-16,F,61,2015-07-17
Huels,Franz Wilma Larkin,43371455,Pasaporte,1965-05-13,F,62,2008-09-15
Nicolas,Lenny Johathan Hegmann,46043143,LibretaCivica,1983-10-08,F,63,1981-03-03
Nikolaus,Andreane Oswald Lang,7280096,Pasaporte,1951-03-25,F,64,1975-04-25
Maggio,Brannon Braden Hermiston,5624946,LibretaEnrolamiento,1981-05-06,F,65,1958-04-08
Daugherty,Gilbert Cecil Deckow,12357201,DNI,2002-11-06,F,66,1996-03-19
Fadel,Dan Morris Kub,30456571,LibretaCivica,1994-12-07,M,67,2022-08-25
